50000;undefined;undefined;"Dies ist kein Lauf mit 10°, wie gewollt sondern einer mit 30°. Deswegen lag der mit der Kurve von 30° so gut übereinander."
undefined;0.13217417359604583;0.0001165740760313863;
undefined;0.19518171590657812;0.0001532368463927366;
undefined;0.24064517948990422;0.0004079551307644285;
undefined;0.27661933904620756;0.00025126710515450967;
undefined;0.3059729415427337;0.0006181447225105583;
undefined;0.3312967966900377;0.0004924663313900927;
undefined;0.35253353832735373;0.0005603708542396004;
undefined;0.37078580742173795;0.0006001256300773056;
undefined;0.38761126753755354;0.0004508665555287762;
undefined;0.4015647039281497;0.0006091937345542357;
undefined;0.4153118897213937;0.0004963400793067162;
undefined;0.42601031841004006;0.00022227917827250164;
undefined;0.4368373391814101;0.0004987321808794405;
undefined;0.44635419095422935;0.0009078505309029165;
undefined;0.4549266440718636;0.000816800112293876;
undefined;0.4628166795741058;0.0008178640003282178;
undefined;0.47101706278216726;0.0011202113452635641;
undefined;0.4778270944605252;0.0013467299938286787;
undefined;0.4842404577618916;0.0006723039959413312;
undefined;0.4901663963007919;0.0013873638172265128;
undefined;0.495796406933375;0.0009246549740628823;
undefined;0.5009161078724571;0.0015270808400846207;
undefined;0.506514183239989;0.0017930179188053574;
undefined;0.5117652088284069;0.0011032690048768763;
undefined;0.5154288719250031;0.0017391792845164488;
undefined;0.5202671593461089;0.0009126263614098476;
undefined;0.5230768672271957;0.001134511379196618;
undefined;0.5265170040682025;0.0017358448246921968;
undefined;0.5319022804528157;0.0009119995923484808;
undefined;0.5344500823558882;0.0009723813506542702;
undefined;0.5375740622443229;0.00045157506461322104;
undefined;0.5409912834323565;0.0012338783693727963;
undefined;0.5429543801771398;0.0010070715036420413;
undefined;0.5457334011228206;0.0017251016504986982;
undefined;0.5504992409212368;0.001409259257081111;
undefined;0.5521095632030499;0.0020979614961057057;
undefined;0.5546523404928133;0.0026808914284973755;
undefined;0.5572983133394569;0.000882253930311535;
undefined;0.5595604180470164;0.0019530118819221134;
undefined;0.563241215266474;0.0021228766438330634;
undefined;0.5643511546106291;0.0013612345732716149;
undefined;0.5668126538771832;0.0013990677511871393;
undefined;0.5675968605497388;0.001841638520535359;
undefined;0.5700193015982769;0.0013077388722877884;
undefined;0.5715608268732094;0.002185745910279904;
undefined;0.5749636625445558;0.003719268652856666;
undefined;0.5752427368025245;0.0021531247662167534;
undefined;0.5802792521348464;0.002025325056918457;
undefined;0.578541896851539;0.002969193031933467;
undefined;0.5815791551413263;0.0006475695487430434;
undefined;0.5847413438838462;0.001467157322730075;
undefined;0.5828302598863088;0.0027008435350689454;
undefined;0.5875058812186904;0.0013429483869936267;
undefined;0.5875083699141449;0.0015551066499526033;
undefined;0.5894193167742046;0.0025433392000295757;
undefined;0.5902032729124654;0.001962102498331919;
undefined;0.5927077604907364;0.0029784160116941376;
undefined;0.5912654834050912;0.003800225003366704;
undefined;0.5962663531895227;0.002425051563479348;
undefined;0.5974554047203259;0.002445525032702331;
undefined;0.5968073600751004;0.0024441731094659107;
undefined;0.5988693374860974;0.0033411718100455163;
undefined;0.6009526323059939;0.0029233491854920536;
undefined;0.601054815252541;0.002059676355184266;
